Found local copy...
Found local copy...
Found local copy...
These perturbations are not in the GO graph and their perturbation can thus not be predicted
['C7orf26+ctrl' 'C14orf178+ctrl' 'RPS10-NUDT3+ctrl' 'SEM1+ctrl' 'FAU+ctrl']
Local copy of pyg dataset is detected. Loading...
Done!
Local copy of split is detected. Loading...
Simulation split test composition:
combo_seen0:0
combo_seen1:0
combo_seen2:0
unseen_single:272
Done!
Creating dataloaders....
Done!
Found local GO graph CSV...
Start Training...
Epoch 1 Step 1 Train Loss: 0.6269
Epoch 1 Step 51 Train Loss: 0.6425
Epoch 1 Step 101 Train Loss: 0.5638
Epoch 1 Step 151 Train Loss: 0.6902
Epoch 1 Step 201 Train Loss: 0.5908
Epoch 1 Step 251 Train Loss: 0.5630
Epoch 1 Step 301 Train Loss: 0.5736
Epoch 1 Step 351 Train Loss: 0.5970
Epoch 1 Step 401 Train Loss: 0.5991
Epoch 1 Step 451 Train Loss: 0.6209
Epoch 1 Step 501 Train Loss: 0.6450
Epoch 1 Step 551 Train Loss: 0.6186
Epoch 1 Step 601 Train Loss: 0.6386
Epoch 1 Step 651 Train Loss: 0.5500
Epoch 1 Step 701 Train Loss: 0.5182
Epoch 1 Step 751 Train Loss: 0.5394
Epoch 1 Step 801 Train Loss: 0.6103
Epoch 1 Step 851 Train Loss: 0.5899
Epoch 1 Step 901 Train Loss: 0.6369
Epoch 1 Step 951 Train Loss: 0.6115
Epoch 1 Step 1001 Train Loss: 0.5426
Epoch 1 Step 1051 Train Loss: 0.5948
Epoch 1 Step 1101 Train Loss: 0.5810
Epoch 1 Step 1151 Train Loss: 0.5478
Epoch 1 Step 1201 Train Loss: 0.5060
Epoch 1 Step 1251 Train Loss: 0.5384
Epoch 1 Step 1301 Train Loss: 0.5468
Epoch 1 Step 1351 Train Loss: 0.5699
Epoch 1 Step 1401 Train Loss: 0.6424
Epoch 1 Step 1451 Train Loss: 0.6792
Epoch 1 Step 1501 Train Loss: 0.5299
Epoch 1 Step 1551 Train Loss: 0.5827
Epoch 1 Step 1601 Train Loss: 0.5662
Epoch 1 Step 1651 Train Loss: 0.5883
Epoch 1 Step 1701 Train Loss: 0.5906
Epoch 1 Step 1751 Train Loss: 0.5802
