Found local copy...
Found local copy...
Found local copy...
These perturbations are not in the GO graph and their perturbation can thus not be predicted
['C7orf26+ctrl' 'C14orf178+ctrl' 'RPS10-NUDT3+ctrl' 'SEM1+ctrl' 'FAU+ctrl']
Local copy of pyg dataset is detected. Loading...
Done!
Local copy of split is detected. Loading...
Simulation split test composition:
combo_seen0:0
combo_seen1:0
combo_seen2:0
unseen_single:272
Done!
Creating dataloaders....
Done!
Found local GO graph CSV...
Start Training...
Epoch 2 Step 2251 Train Loss: 0.5815
Epoch 2 Step 2301 Train Loss: 0.5616
Epoch 2 Step 2351 Train Loss: 0.5001
Epoch 2 Step 2401 Train Loss: 0.6067
Epoch 2 Step 2451 Train Loss: 0.5685
Epoch 2 Step 2501 Train Loss: 0.5610
Epoch 2 Step 2551 Train Loss: 0.5671
Epoch 2 Step 2601 Train Loss: 0.5496
Epoch 2 Step 2651 Train Loss: 0.6410
Epoch 2 Step 2701 Train Loss: 0.6026
Epoch 2 Step 2751 Train Loss: 0.6115
Epoch 2 Step 2801 Train Loss: 0.5860
Epoch 2 Step 2851 Train Loss: 0.5642
Epoch 2 Step 2901 Train Loss: 0.6155
Epoch 2 Step 2951 Train Loss: 0.5068
Epoch 2 Step 3001 Train Loss: 0.6139
Epoch 2 Step 3051 Train Loss: 0.5909
Epoch 2 Step 3101 Train Loss: 0.5413
Epoch 2 Step 3151 Train Loss: 0.6157
Epoch 2 Step 3201 Train Loss: 0.6095
Epoch 2 Step 3251 Train Loss: 0.5813
Epoch 2 Step 3301 Train Loss: 0.5596
Epoch 2 Step 3351 Train Loss: 0.5219
Epoch 2 Step 3401 Train Loss: 0.6059
Epoch 2 Step 3451 Train Loss: 0.6107
Epoch 2 Step 3501 Train Loss: 0.5383
Epoch 2: Train Overall MSE: 0.0073 Validation Overall MSE: 0.0087. 
Train Top 20 DE MSE: 0.0891 Validation Top 20 DE MSE: 0.1495. 
Epoch 3 Step 1 Train Loss: 0.5512
Epoch 3 Step 51 Train Loss: 0.5910
Epoch 3 Step 101 Train Loss: 0.5340
Epoch 3 Step 151 Train Loss: 0.5833
Epoch 3 Step 201 Train Loss: 0.6290
Epoch 3 Step 251 Train Loss: 0.6254
Epoch 3 Step 301 Train Loss: 0.5946
Epoch 3 Step 351 Train Loss: 0.4967
Epoch 3 Step 401 Train Loss: 0.5156
Epoch 3 Step 451 Train Loss: 0.5573
Epoch 3 Step 501 Train Loss: 0.5128
Epoch 3 Step 551 Train Loss: 0.5644
Epoch 3 Step 601 Train Loss: 0.5688
Epoch 3 Step 651 Train Loss: 0.5453
Epoch 3 Step 701 Train Loss: 0.5448
Epoch 3 Step 751 Train Loss: 0.6142
Epoch 3 Step 801 Train Loss: 0.6538
Epoch 3 Step 851 Train Loss: 0.6535
Epoch 3 Step 901 Train Loss: 0.5983
Epoch 3 Step 951 Train Loss: 0.6353
Epoch 3 Step 1001 Train Loss: 0.5770
Epoch 3 Step 1051 Train Loss: 0.6445
Epoch 3 Step 1101 Train Loss: 0.6101
Epoch 3 Step 1151 Train Loss: 0.5973
Epoch 3 Step 1201 Train Loss: 0.6066
Epoch 3 Step 1251 Train Loss: 0.5658
Epoch 3 Step 1301 Train Loss: 0.5648
Epoch 3 Step 1351 Train Loss: 0.5659
Epoch 3 Step 1401 Train Loss: 0.5718
Epoch 3 Step 1451 Train Loss: 0.5453
Epoch 3 Step 1501 Train Loss: 0.5506
Epoch 3 Step 1551 Train Loss: 0.5330
Epoch 3 Step 1601 Train Loss: 0.5906
Epoch 3 Step 1651 Train Loss: 0.5622
Epoch 3 Step 1701 Train Loss: 0.6271
Epoch 3 Step 1751 Train Loss: 0.5357
Epoch 3 Step 1801 Train Loss: 0.6679
Epoch 3 Step 1851 Train Loss: 0.6329
Epoch 3 Step 1901 Train Loss: 0.5307
Epoch 3 Step 1951 Train Loss: 0.5882
Epoch 3 Step 2001 Train Loss: 0.5654
Epoch 3 Step 2051 Train Loss: 0.5517
Epoch 3 Step 2101 Train Loss: 0.6103
Epoch 3 Step 2151 Train Loss: 0.6048
Epoch 3 Step 2201 Train Loss: 0.5921
Epoch 3 Step 2251 Train Loss: 0.5494
Epoch 3 Step 2301 Train Loss: 0.6014
Epoch 3 Step 2351 Train Loss: 0.5343
Epoch 3 Step 2401 Train Loss: 0.5693
Epoch 3 Step 2451 Train Loss: 0.6368
Epoch 3 Step 2501 Train Loss: 0.5627
Epoch 3 Step 2551 Train Loss: 0.6225
Epoch 3 Step 2601 Train Loss: 0.6817
Epoch 3 Step 2651 Train Loss: 0.6397
Epoch 3 Step 2701 Train Loss: 0.5954
Epoch 3 Step 2751 Train Loss: 0.5493
Epoch 3 Step 2801 Train Loss: 0.5612
Epoch 3 Step 2851 Train Loss: 0.6030
Epoch 3 Step 2901 Train Loss: 0.5004
Epoch 3 Step 2951 Train Loss: 0.5637
Epoch 3 Step 3001 Train Loss: 0.5868
Epoch 3 Step 3051 Train Loss: 0.5562
Epoch 3 Step 3101 Train Loss: 0.6414
Epoch 3 Step 3151 Train Loss: 0.5252
Epoch 3 Step 3201 Train Loss: 0.5804
Epoch 3 Step 3251 Train Loss: 0.5613
Epoch 3 Step 3301 Train Loss: 0.4943
Epoch 3 Step 3351 Train Loss: 0.6122
Epoch 3 Step 3401 Train Loss: 0.6070
Epoch 3 Step 3451 Train Loss: 0.5675
Epoch 3 Step 3501 Train Loss: 0.5629
Epoch 3: Train Overall MSE: 0.0066 Validation Overall MSE: 0.0081. 
Train Top 20 DE MSE: 0.0770 Validation Top 20 DE MSE: 0.1413. 
Epoch 4 Step 1 Train Loss: 0.5732
Epoch 4 Step 51 Train Loss: 0.6584
Epoch 4 Step 101 Train Loss: 0.6288
Epoch 4 Step 151 Train Loss: 0.6305
Epoch 4 Step 201 Train Loss: 0.5651
Epoch 4 Step 251 Train Loss: 0.5693
Epoch 4 Step 301 Train Loss: 0.6100
Epoch 4 Step 351 Train Loss: 0.5492
Epoch 4 Step 401 Train Loss: 0.5210
Epoch 4 Step 451 Train Loss: 0.5678
Epoch 4 Step 501 Train Loss: 0.4992
Epoch 4 Step 551 Train Loss: 0.6055
Epoch 4 Step 601 Train Loss: 0.5748
Epoch 4 Step 651 Train Loss: 0.6445
Epoch 4 Step 701 Train Loss: 0.5842
Epoch 4 Step 751 Train Loss: 0.5927
Epoch 4 Step 801 Train Loss: 0.5948
Epoch 4 Step 851 Train Loss: 0.6074
