Found local copy...
Found local copy...
Found local copy...
These perturbations are not in the GO graph and their perturbation can thus not be predicted
['C7orf26+ctrl' 'C14orf178+ctrl' 'RPS10-NUDT3+ctrl' 'SEM1+ctrl' 'FAU+ctrl']
Local copy of pyg dataset is detected. Loading...
Done!
Local copy of split is detected. Loading...
Simulation split test composition:
combo_seen0:0
combo_seen1:0
combo_seen2:0
unseen_single:272
Done!
Creating dataloaders....
Done!
Found local GO graph CSV...
Start Training...
Epoch 1 Step 1 Train Loss: 0.6269
Epoch 1 Step 51 Train Loss: 0.6422
Epoch 1 Step 101 Train Loss: 0.5647
Epoch 1 Step 151 Train Loss: 0.6939
Epoch 1 Step 201 Train Loss: 0.5906
Epoch 1 Step 251 Train Loss: 0.5625
Epoch 1 Step 301 Train Loss: 0.5721
Epoch 1 Step 351 Train Loss: 0.5928
Epoch 1 Step 401 Train Loss: 0.5993
Epoch 1 Step 451 Train Loss: 0.6240
Epoch 1 Step 501 Train Loss: 0.6443
Epoch 1 Step 551 Train Loss: 0.6214
Epoch 1 Step 601 Train Loss: 0.6398
Epoch 1 Step 651 Train Loss: 0.5491
Epoch 1 Step 701 Train Loss: 0.5181
Epoch 1 Step 751 Train Loss: 0.5403
Epoch 1 Step 801 Train Loss: 0.6100
Epoch 1 Step 851 Train Loss: 0.5892
Epoch 1 Step 901 Train Loss: 0.6372
Epoch 1 Step 951 Train Loss: 0.6117
Epoch 1 Step 1001 Train Loss: 0.5435
Epoch 1 Step 1051 Train Loss: 0.5948
Epoch 1 Step 1101 Train Loss: 0.5795
Epoch 1 Step 1151 Train Loss: 0.5497
Epoch 1 Step 1201 Train Loss: 0.5067
Epoch 1 Step 1251 Train Loss: 0.5362
Epoch 1 Step 1301 Train Loss: 0.5465
Epoch 1 Step 1351 Train Loss: 0.5679
Epoch 1 Step 1401 Train Loss: 0.6432
Epoch 1 Step 1451 Train Loss: 0.6790
Epoch 1 Step 1501 Train Loss: 0.5317
Epoch 1 Step 1551 Train Loss: 0.5844
Epoch 1 Step 1601 Train Loss: 0.5664
Epoch 1 Step 1651 Train Loss: 0.5866
Epoch 1 Step 1701 Train Loss: 0.5932
Epoch 1 Step 1751 Train Loss: 0.5804
