Found local copy...
Found local copy...
Found local copy...
These perturbations are not in the GO graph and their perturbation can thus not be predicted
['C7orf26+ctrl' 'C14orf178+ctrl' 'RPS10-NUDT3+ctrl' 'SEM1+ctrl' 'FAU+ctrl']
Local copy of pyg dataset is detected. Loading...
Done!
Local copy of split is detected. Loading...
Simulation split test composition:
combo_seen0:0
combo_seen1:0
combo_seen2:0
unseen_single:272
Done!
Creating dataloaders....
Done!
Found local GO graph CSV...
Start Training...
Epoch 1 Step 1 Train Loss: 0.6269
Epoch 1 Step 51 Train Loss: 0.6431
Epoch 1 Step 101 Train Loss: 0.5612
Epoch 1 Step 151 Train Loss: 0.6918
Epoch 1 Step 201 Train Loss: 0.5886
Epoch 1 Step 251 Train Loss: 0.5650
Epoch 1 Step 301 Train Loss: 0.5736
Epoch 1 Step 351 Train Loss: 0.5936
Epoch 1 Step 401 Train Loss: 0.5994
Epoch 1 Step 451 Train Loss: 0.6228
Epoch 1 Step 501 Train Loss: 0.6431
Epoch 1 Step 551 Train Loss: 0.6163
Epoch 1 Step 601 Train Loss: 0.6384
Epoch 1 Step 651 Train Loss: 0.5520
Epoch 1 Step 701 Train Loss: 0.5188
Epoch 1 Step 751 Train Loss: 0.5408
Epoch 1 Step 801 Train Loss: 0.6125
Epoch 1 Step 851 Train Loss: 0.5901
Epoch 1 Step 901 Train Loss: 0.6371
Epoch 1 Step 951 Train Loss: 0.6119
Epoch 1 Step 1001 Train Loss: 0.5414
Epoch 1 Step 1051 Train Loss: 0.5939
Epoch 1 Step 1101 Train Loss: 0.5793
Epoch 1 Step 1151 Train Loss: 0.5486
Epoch 1 Step 1201 Train Loss: 0.5064
Epoch 1 Step 1251 Train Loss: 0.5393
Epoch 1 Step 1301 Train Loss: 0.5473
Epoch 1 Step 1351 Train Loss: 0.5694
Epoch 1 Step 1401 Train Loss: 0.6433
Epoch 1 Step 1451 Train Loss: 0.6800
Epoch 1 Step 1501 Train Loss: 0.5320
Epoch 1 Step 1551 Train Loss: 0.5846
Epoch 1 Step 1601 Train Loss: 0.5677
Epoch 1 Step 1651 Train Loss: 0.5873
Epoch 1 Step 1701 Train Loss: 0.5922
Epoch 1 Step 1751 Train Loss: 0.5823
