Found local copy...
Found local copy...
Found local copy...
These perturbations are not in the GO graph and their perturbation can thus not be predicted
['C7orf26+ctrl' 'C14orf178+ctrl' 'RPS10-NUDT3+ctrl' 'SEM1+ctrl' 'FAU+ctrl']
Local copy of pyg dataset is detected. Loading...
Done!
Local copy of split is detected. Loading...
Simulation split test composition:
combo_seen0:0
combo_seen1:0
combo_seen2:0
unseen_single:272
Done!
Creating dataloaders....
Done!
Found local GO graph CSV...
Start Training...
Epoch 2 Step 2251 Train Loss: 0.5833
Epoch 2 Step 2301 Train Loss: 0.5607
Epoch 2 Step 2351 Train Loss: 0.5006
Epoch 2 Step 2401 Train Loss: 0.6065
Epoch 2 Step 2451 Train Loss: 0.5685
Epoch 2 Step 2501 Train Loss: 0.5626
Epoch 2 Step 2551 Train Loss: 0.5667
Epoch 2 Step 2601 Train Loss: 0.5505
Epoch 2 Step 2651 Train Loss: 0.6411
Epoch 2 Step 2701 Train Loss: 0.6033
Epoch 2 Step 2751 Train Loss: 0.6131
Epoch 2 Step 2801 Train Loss: 0.5879
Epoch 2 Step 2851 Train Loss: 0.5645
Epoch 2 Step 2901 Train Loss: 0.6187
Epoch 2 Step 2951 Train Loss: 0.5075
Epoch 2 Step 3001 Train Loss: 0.6149
Epoch 2 Step 3051 Train Loss: 0.5929
Epoch 2 Step 3101 Train Loss: 0.5412
Epoch 2 Step 3151 Train Loss: 0.6144
Epoch 2 Step 3201 Train Loss: 0.6107
Epoch 2 Step 3251 Train Loss: 0.5820
Epoch 2 Step 3301 Train Loss: 0.5595
Epoch 2 Step 3351 Train Loss: 0.5228
Epoch 2 Step 3401 Train Loss: 0.6065
Epoch 2 Step 3451 Train Loss: 0.6129
Epoch 2 Step 3501 Train Loss: 0.5371
Epoch 2: Train Overall MSE: 0.0073 Validation Overall MSE: 0.0088. 
Train Top 20 DE MSE: 0.0912 Validation Top 20 DE MSE: 0.1514. 
Epoch 3 Step 1 Train Loss: 0.5489
Epoch 3 Step 51 Train Loss: 0.5919
